category,document_type,title,path,source_area,status_or_role
plan,implementation-plan,"Powers, Hooks, MCP, and Tech-Docs Implementation Plan",plans/powers-hooks-mcp-html-plan.md,plans,Repository maintenance implementation plan
plan,requirements,FOCSS static defects — Requirements,plans/focss-static-defects/requirements.md,plans/focss-static-defects,Canonical current requirements
plan,design,FOCSS static defects — Design,plans/focss-static-defects/design.md,plans/focss-static-defects,Canonical current design
plan,tasks,FOCSS static defects — Tasks,plans/focss-static-defects/tasks.md,plans/focss-static-defects,Canonical current task register
report,decision-record,FOCSS static defects — Decision and handoff record,plans/focss-static-defects/handoffs.md,plans/focss-static-defects,Canonical decision and cross-plan evidence record
plan,requirements,Kiro repository guidance setup — Requirements,.kiro/specs/kiro-repo-guidance-setup/requirements.md,.kiro/specs/kiro-repo-guidance-setup,Formal spec requirements
plan,design,Kiro repository guidance setup — Design,.kiro/specs/kiro-repo-guidance-setup/design.md,.kiro/specs/kiro-repo-guidance-setup,Formal spec design
plan,tasks,Kiro repository guidance setup — Tasks,.kiro/specs/kiro-repo-guidance-setup/tasks.md,.kiro/specs/kiro-repo-guidance-setup,Formal spec task list
plan,requirements,Planner remediation — Requirements,.kiro/specs/planner-remediation/requirements.md,.kiro/specs/planner-remediation,Formal spec requirements
plan,design,Planner remediation — Design,.kiro/specs/planner-remediation/design.md,.kiro/specs/planner-remediation,Formal spec design
plan,tasks,Planner remediation — Tasks,.kiro/specs/planner-remediation/tasks.md,.kiro/specs/planner-remediation,Formal spec task list
plan,requirements,Planner dock cascade — Requirements,.kiro/specs/planner-dock-cascade/requirements.md,.kiro/specs/planner-dock-cascade,Formal spec requirements
plan,design,Planner dock cascade — Design,.kiro/specs/planner-dock-cascade/design.md,.kiro/specs/planner-dock-cascade,Formal spec design
plan,tasks,Planner dock cascade — Tasks,.kiro/specs/planner-dock-cascade/tasks.md,.kiro/specs/planner-dock-cascade,Formal spec task list
plan,requirements,Unified remediation — Requirements,.kiro/specs/remediation-unified/requirements.md,.kiro/specs/remediation-unified,Formal spec requirements
plan,design,Unified remediation — Design,.kiro/specs/remediation-unified/design.md,.kiro/specs/remediation-unified,Formal spec design
plan,tasks,Unified remediation — Tasks,.kiro/specs/remediation-unified/tasks.md,.kiro/specs/remediation-unified,Formal spec task list
plan,requirements,Trusted By duplicate roster kicker — Requirements,plans/trusted-by-duplicate-roster-kicker/requirements.md,plans/trusted-by-duplicate-roster-kicker,Canonical current requirements
plan,design,Trusted By duplicate roster kicker — Design,plans/trusted-by-duplicate-roster-kicker/design.md,plans/trusted-by-duplicate-roster-kicker,Reconciliation design
plan,tasks,Trusted By duplicate roster kicker — Tasks,plans/trusted-by-duplicate-roster-kicker/tasks.md,plans/trusted-by-duplicate-roster-kicker,Executable closeout tasks
plan,requirements,Trusted By duplicate roster kicker — Bugfix requirements,plans/trusted-by-duplicate-roster-kicker/bugfix.md,plans/trusted-by-duplicate-roster-kicker,Historical bugfix analysis
plan,requirements,Site page CSS remediation — Requirements,.kiro/specs/site-page-css-remediation/requirements.md,.kiro/specs/site-page-css-remediation,Formal spec requirements
plan,design,Site page CSS remediation — Design,.kiro/specs/site-page-css-remediation/design.md,.kiro/specs/site-page-css-remediation,Formal spec design
plan,tasks,Site page CSS remediation — Tasks,.kiro/specs/site-page-css-remediation/tasks.md,.kiro/specs/site-page-css-remediation,Formal spec task list
report,audit,CSS static audit report,plans/focss-static-defects/css-static-audit-report.md,plans/focss-static-defects,Static CSS audit
